,participantId,task,format,duration_sec,help_count,correct,search_count,copy_count,paste_count
66,66992f58a7964f557fc75f58,reading-task-tabular-2,toml,15.668,0,1,0,0,0
67,66992f58a7964f557fc75f58,reading-task-tabular-3,toml,1861.23,0,1,0,0,0
68,66992f58a7964f557fc75f58,reading-task-tabular-4,toml,39.691,0,1,0,0,0
69,66992f58a7964f557fc75f58,reading-task-tabular-5,toml,298.362,0,1,0,0,0
70,60721c2da01b3a616edba9a7,reading-task-tabular-1,xml,93.27,0,0,0,0,0
71,60721c2da01b3a616edba9a7,reading-task-tabular-2,xml,52.574,0,1,2,1,0
72,60721c2da01b3a616edba9a7,reading-task-tabular-3,xml,49.709,0,0,0,0,0
73,60721c2da01b3a616edba9a7,reading-task-tabular-4,xml,130.992,0,1,0,0,0
74,60721c2da01b3a616edba9a7,reading-task-tabular-5,xml,120.381,0,1,0,0,0
75,673e43cc760355e9e4f042a3,reading-task-tabular-1,json5,42.628,0,1,0,0,0
76,673e43cc760355e9e4f042a3,reading-task-tabular-2,json5,70.366,0,1,0,0,0
77,673e43cc760355e9e4f042a3,reading-task-tabular-3,json5,58.78,0,0,0,0,0
78,673e43cc760355e9e4f042a3,reading-task-tabular-4,json5,40.855,0,1,0,0,0
79,673e43cc760355e9e4f042a3,reading-task-tabular-5,json5,56.805,0,0,0,0,0
80,60a0b744298c64d46b63e893,reading-task-tabular-1,hjson,45.289,0,1,0,0,0
81,60a0b744298c64d46b63e893,reading-task-tabular-2,hjson,108.601,0,1,0,0,0
82,60a0b744298c64d46b63e893,reading-task-tabular-3,hjson,56.445,0,1,0,0,0
83,60a0b744298c64d46b63e893,reading-task-tabular-4,hjson,28.92,0,1,0,0,0
84,60a0b744298c64d46b63e893,reading-task-tabular-5,hjson,70.294,0,1,0,0,0
85,67dc19c31078d1581e39e75a,reading-task-tabular-1,yaml,67.435,0,0,0,0,0
86,67dc19c31078d1581e39e75a,reading-task-tabular-2,yaml,50.661,0,1,0,0,0
87,67dc19c31078d1581e39e75a,reading-task-tabular-3,yaml,30.435,0,0,0,0,0
88,67dc19c31078d1581e39e75a,reading-task-tabular-4,yaml,32.698,0,1,0,0,0
89,67dc19c31078d1581e39e75a,reading-task-tabular-5,yaml,45.791,0,0,0,0,0
90,678bad003d15e6aba1ee5a5d,reading-task-tabular-1,jsonc,40.478,0,1,0,0,0
91,678bad003d15e6aba1ee5a5d,reading-task-tabular-2,jsonc,62.472,0,1,0,0,0
92,678bad003d15e6aba1ee5a5d,reading-task-tabular-3,jsonc,64.496,0,1,0,0,0
93,678bad003d15e6aba1ee5a5d,reading-task-tabular-4,jsonc,70.603,0,1,0,0,0
94,678bad003d15e6aba1ee5a5d,reading-task-tabular-5,jsonc,113.762,0,1,0,0,0
95,66cdfebcb908ea2717d06b6c,reading-task-tabular-1,hjson,91.743,0,1,0,1,0
96,66cdfebcb908ea2717d06b6c,reading-task-tabular-2,hjson,26.984,0,1,0,0,0
97,66cdfebcb908ea2717d06b6c,reading-task-tabular-3,hjson,30.717,0,1,0,0,0
98,66cdfebcb908ea2717d06b6c,reading-task-tabular-4,hjson,37.491,0,1,0,0,0
99,66cdfebcb908ea2717d06b6c,reading-task-tabular-5,hjson,58.642,0,0,0,0,0
100,67f0c5d37f91ceae5cb3b318,reading-task-tabular-1,jsonc,41.581,0,1,0,0,0
101,67f0c5d37f91ceae5cb3b318,reading-task-tabular-2,jsonc,47.989,0,1,0,0,0
102,67f0c5d37f91ceae5cb3b318,reading-task-tabular-3,jsonc,32.207,0,1,0,0,0
103,67f0c5d37f91ceae5cb3b318,reading-task-tabular-4,jsonc,142.962,0,1,0,0,0
104,67f0c5d37f91ceae5cb3b318,reading-task-tabular-5,jsonc,142.191,0,1,0,0,0
105,56cb8858edf8da000b6df354,reading-task-tabular-1,hjson,50.846,0,1,0,0,0
106,56cb8858edf8da000b6df354,reading-task-tabular-2,hjson,24.433,0,1,0,0,0
107,56cb8858edf8da000b6df354,reading-task-tabular-3,hjson,14.06,0,1,0,0,0
108,56cb8858edf8da000b6df354,reading-task-tabular-4,hjson,15.631,0,1,0,0,0
109,56cb8858edf8da000b6df354,reading-task-tabular-5,hjson,48.343,0,1,0,0,0
110,67aee0dfad3492b61a9ba0eb,reading-task-tabular-1,jsonc,18.397,0,1,0,0,0
111,67aee0dfad3492b61a9ba0eb,reading-task-tabular-2,jsonc,59.432,0,1,0,0,0
112,67aee0dfad3492b61a9ba0eb,reading-task-tabular-3,jsonc,37.992,0,1,0,0,0
113,67aee0dfad3492b61a9ba0eb,reading-task-tabular-4,jsonc,10.627,0,1,0,0,0
114,67aee0dfad3492b61a9ba0eb,reading-task-tabular-5,jsonc,40.955,0,1,0,0,0
